"","year","quarter","industry1","industry2","industry3","total_employment","employment_change","job_vacancy_rate","recruitment_rate","resignation_rate","retrench_rate","emp_ch_rate","Year"
"18",2010,1,"services","art, entertainment, recreation and other services","other community, social and personal services",292400,5200,2.5,3.1,2.7,10,1.77838577291382,"2010 Q1"
"19",2010,1,"manufacturing","manufacturing","other manufacturing industries",58300,800,2.8,2,1.6,160,1.37221269296741,"2010 Q1"
"20",2010,1,"services","professional services","other professional services",40100,400,1.6,3,1.8,0,0.997506234413965,"2010 Q1"
"21",2010,1,"services","transportation and storage","other transportation and storage services",55800,600,1.8,3.6,2.4,0,1.0752688172043,"2010 Q1"
"22",2010,1,"manufacturing","manufacturing","paper / rubber / plastic products and printing",40900,3500,2,2,2,120,8.55745721271394,"2010 Q1"
"23",2010,1,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",56700,-400,1.6,1.5,0.7,30,-0.705467372134039,"2010 Q1"
"24",2010,1,"services","education, health and social services","public administration and education",199000,3800,4.1,1.4,0.7,0,1.90954773869347,"2010 Q1"
"25",2010,1,"services","wholesale and retail trade","retail trade",146800,300,2.5,4.9,5.3,20,0.204359673024523,"2010 Q1"
"26",2010,1,"services","administrative and support services","security and investigation",33300,900,3.3,4.8,3.5,0,2.7027027027027,"2010 Q1"
"27",2010,1,"services","information and communications","telecommunications, broadcasting and publishing",35800,200,2.6,2.1,1.3,100,0.558659217877095,"2010 Q1"
"28",2010,1,"manufacturing","manufacturing","transport equipment",132400,400,1.7,2,1.2,50,0.302114803625378,"2010 Q1"
"29",2010,1,"services","transportation and storage","water transport and supporting services",39500,200,1.1,1.7,1,20,0.506329113924051,"2010 Q1"
"30",2010,1,"services","wholesale and retail trade","wholesale trade",282200,1100,1.8,2.9,2.3,300,0.38979447200567,"2010 Q1"
"31",2010,2,"services","accommodation and food services","accommodation",30800,600,3.8,4.6,3.6,0,1.94805194805195,"2010 Q2"
"32",2010,2,"services","transportation and storage","air transport and supporting services",25900,300,4.1,1.3,0.7,100,1.15830115830116,"2010 Q2"
"33",2010,2,"services","professional services","architectural and engineering services",53700,600,1.3,2.5,1.6,40,1.11731843575419,"2010 Q2"
"34",2010,2,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",50100,3100,4.7,6.4,2.2,50,6.187624750499,"2010 Q2"
"35",2010,2,"services","administrative and support services","cleaning and landscaping",45200,500,2.6,4.5,5,10,1.10619469026549,"2010 Q2"
"36",2010,2,"construction","construction","construction",376900,1600,1,2.5,2,150,0.424515786680817,"2010 Q2"
"37",2010,2,"manufacturing","manufacturing","electronic, computer and optical products",99000,1800,3.6,2.5,1.9,240,1.81818181818182,"2010 Q2"
"38",2010,2,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",104400,1000,2.1,2.3,1.8,500,0.957854406130268,"2010 Q2"
"39",2010,2,"services","financial and insurance services","financial services",115400,2500,2.6,3,1.9,150,2.16637781629116,"2010 Q2"
"40",2010,2,"services","accommodation and food services","food and beverage services",163600,400,3.9,4.7,4.1,0,0.244498777506112,"2010 Q2"
"41",2010,2,"manufacturing","manufacturing","food, beverages and tobacco",35400,200,1.8,3.3,3,10,0.564971751412429,"2010 Q2"
"42",2010,2,"services","education, health and social services","health and social services",95500,2400,3.4,2.9,1.4,10,2.5130890052356,"2010 Q2"
"43",2010,2,"services","financial and insurance services","insurance services",27900,600,3.5,2.5,2,20,2.1505376344086,"2010 Q2"
"44",2010,2,"services","information and communications","it and other information services",57700,1700,2.1,4.6,2.9,40,2.94627383015598,"2010 Q2"
"45",2010,2,"services","transportation and storage","land transport and supporting services",80900,500,3.6,2.6,2,20,0.618046971569839,"2010 Q2"
"46",2010,2,"services","professional services","legal, accounting and management services",82700,2500,2.1,3.2,2.4,130,3.0229746070133,"2010 Q2"
"47",2010,2,"services","administrative and support services","other administrative and support services",89200,3200,1.8,4.8,3.4,0,3.58744394618834,"2010 Q2"
"48",2010,2,"services","art, entertainment, recreation and other services","other community, social and personal services",293300,900,4.1,2.9,2.6,30,0.306853051483123,"2010 Q2"
"49",2010,2,"manufacturing","manufacturing","other manufacturing industries",59000,700,2.9,2.8,1.8,70,1.1864406779661,"2010 Q2"
"50",2010,2,"services","professional services","other professional services",41100,1000,2.5,3.2,2.5,0,2.4330900243309,"2010 Q2"
"51",2010,2,"services","transportation and storage","other transportation and storage services",56400,600,2.3,3.8,2.6,10,1.06382978723404,"2010 Q2"
"52",2010,2,"manufacturing","manufacturing","paper / rubber / plastic products and printing",41000,100,1.7,2.8,2.5,90,0.24390243902439,"2010 Q2"
"53",2010,2,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",55900,-800,1.6,1.8,0.9,70,-1.43112701252236,"2010 Q2"
"54",2010,2,"services","education, health and social services","public administration and education",200500,1500,4.8,1.1,0.7,0,0.748129675810474,"2010 Q2"
"55",2010,2,"services","wholesale and retail trade","retail trade",145700,-1100,3.1,4.9,4.9,30,-0.754975978037062,"2010 Q2"
"56",2010,2,"services","administrative and support services","security and investigation",33200,-100,5.3,5.4,5.1,0,-0.301204819277108,"2010 Q2"
"57",2010,2,"services","information and communications","telecommunications, broadcasting and publishing",36300,500,2.7,2.3,1.8,50,1.37741046831956,"2010 Q2"
"58",2010,2,"manufacturing","manufacturing","transport equipment",128400,-4000,1.5,1.2,1.4,170,-3.11526479750779,"2010 Q2"
"59",2010,2,"services","transportation and storage","water transport and supporting services",39900,400,2.8,2,1.5,20,1.00250626566416,"2010 Q2"
"60",2010,2,"services","wholesale and retail trade","wholesale trade",284600,2400,2.5,3.5,2.7,250,0.84328882642305,"2010 Q2"
"61",2010,3,"services","accommodation and food services","accommodation",32000,1200,4.4,4.3,3.2,0,3.75,"2010 Q3"
"62",2010,3,"services","transportation and storage","air transport and supporting services",27000,1100,2.4,2.1,0.9,10,4.07407407407407,"2010 Q3"
"63",2010,3,"services","professional services","architectural and engineering services",54100,400,1.6,2.6,1.5,110,0.739371534195933,"2010 Q3"
"64",2010,3,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",50600,500,4.4,3.5,2.3,0,0.988142292490119,"2010 Q3"
"65",2010,3,"services","administrative and support services","cleaning and landscaping",45400,200,3,5.3,5.2,0,0.440528634361234,"2010 Q3"
"66",2010,3,"construction","construction","construction",377200,300,1.4,2.7,1.8,170,0.0795334040296925,"2010 Q3"
"67",2010,3,"manufacturing","manufacturing","electronic, computer and optical products",100100,1100,2.7,2.5,1.6,440,1.0989010989011,"2010 Q3"
"68",2010,3,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",106200,1800,2.1,2.3,1.6,420,1.69491525423729,"2010 Q3"
"69",2010,3,"services","financial and insurance services","financial services",118700,3300,2.3,3.4,1.9,80,2.78011794439764,"2010 Q3"
"70",2010,3,"services","accommodation and food services","food and beverage services",164800,1200,5,5.2,4.8,20,0.728155339805825,"2010 Q3"
"71",2010,3,"manufacturing","manufacturing","food, beverages and tobacco",35700,300,2.8,3.7,3.2,0,0.840336134453782,"2010 Q3"
"72",2010,3,"services","education, health and social services","health and social services",96900,1400,2.3,2.4,1.3,0,1.44478844169247,"2010 Q3"
"73",2010,3,"services","financial and insurance services","insurance services",28200,300,2.7,3,1.9,0,1.06382978723404,"2010 Q3"
"74",2010,3,"services","information and communications","it and other information services",59500,1800,3,4.2,2.5,20,3.02521008403361,"2010 Q3"
"75",2010,3,"services","transportation and storage","land transport and supporting services",81300,400,3.4,2.4,1.8,20,0.4920049200492,"2010 Q3"
"76",2010,3,"services","professional services","legal, accounting and management services",85400,2700,2.5,3.8,2.3,80,3.1615925058548,"2010 Q3"
"77",2010,3,"services","administrative and support services","other administrative and support services",90400,1200,3.7,4.3,3.5,50,1.32743362831858,"2010 Q3"
"78",2010,3,"services","art, entertainment, recreation and other services","other community, social and personal services",291800,-1500,3.9,3.2,2.8,10,-0.514050719671008,"2010 Q3"
"79",2010,3,"manufacturing","manufacturing","other manufacturing industries",59200,200,1.9,2.6,1.7,10,0.337837837837838,"2010 Q3"
"80",2010,3,"services","professional services","other professional services",42000,900,3.4,3.3,2.2,10,2.14285714285714,"2010 Q3"
"81",2010,3,"services","transportation and storage","other transportation and storage services",56200,-200,2.5,3.4,2.5,40,-0.355871886120996,"2010 Q3"
"82",2010,3,"manufacturing","manufacturing","paper / rubber / plastic products and printing",41000,0,2.2,2.5,2.4,40,0,"2010 Q3"
"83",2010,3,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",56000,100,1.9,1.6,1,40,0.178571428571429,"2010 Q3"
"84",2010,3,"services","education, health and social services","public administration and education",201900,1400,4.7,1.7,0.8,20,0.693412580485389,"2010 Q3"
"85",2010,3,"services","wholesale and retail trade","retail trade",144900,-800,4.3,5,4.2,60,-0.552104899930987,"2010 Q3"
"86",2010,3,"services","administrative and support services","security and investigation",33900,700,6.5,5.6,4.2,0,2.06489675516224,"2010 Q3"
"87",2010,3,"services","information and communications","telecommunications, broadcasting and publishing",36900,600,2.5,2.4,1.9,40,1.6260162601626,"2010 Q3"
"88",2010,3,"manufacturing","manufacturing","transport equipment",125100,-3300,1.5,1.5,1.2,30,-2.6378896882494,"2010 Q3"
"89",2010,3,"services","transportation and storage","water transport and supporting services",40200,300,1.2,2,1.3,30,0.746268656716418,"2010 Q3"
"90",2010,3,"services","wholesale and retail trade","wholesale trade",287600,3000,2.3,2.9,2.2,160,1.04311543810848,"2010 Q3"
"91",2010,4,"services","accommodation and food services","accommodation",33400,1400,4.5,3,2.1,0,4.19161676646707,"2010 Q4"
"92",2010,4,"services","transportation and storage","air transport and supporting services",27300,300,2.3,1.7,0.9,0,1.0989010989011,"2010 Q4"
"93",2010,4,"services","professional services","architectural and engineering services",54500,400,1.4,1.6,1.5,110,0.73394495412844,"2010 Q4"
"94",2010,4,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",52700,2100,2.8,3.5,1.5,0,3.98481973434535,"2010 Q4"
"95",2010,4,"services","administrative and support services","cleaning and landscaping",45500,100,2.4,5.6,4.9,30,0.21978021978022,"2010 Q4"
"96",2010,4,"construction","construction","construction",378500,1300,1.4,2.5,1.6,690,0.343461030383091,"2010 Q4"
"97",2010,4,"manufacturing","manufacturing","electronic, computer and optical products",100400,300,2.5,2,1.2,710,0.298804780876494,"2010 Q4"
"98",2010,4,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",107600,1400,1.3,1.6,1.2,350,1.30111524163569,"2010 Q4"
"99",2010,4,"services","financial and insurance services","financial services",120800,2100,2.8,2.3,1.4,160,1.73841059602649,"2010 Q4"
"100",2010,4,"services","accommodation and food services","food and beverage services",172400,7600,3.4,5.7,4.3,60,4.40835266821346,"2010 Q4"
"101",2010,4,"manufacturing","manufacturing","food, beverages and tobacco",36300,600,3,3.4,2.6,10,1.65289256198347,"2010 Q4"
"102",2010,4,"services","education, health and social services","health and social services",98800,1900,2.4,2,1.1,0,1.92307692307692,"2010 Q4"
"103",2010,4,"services","financial and insurance services","insurance services",28200,0,3.6,2.6,1.7,10,0,"2010 Q4"
"104",2010,4,"services","information and communications","it and other information services",60700,1200,3.7,3.4,2,20,1.97693574958814,"2010 Q4"
"105",2010,4,"services","transportation and storage","land transport and supporting services",81600,300,4.3,2.1,1.4,0,0.367647058823529,"2010 Q4"
"106",2010,4,"services","professional services","legal, accounting and management services",87400,2000,2.2,2.8,1.6,100,2.2883295194508,"2010 Q4"
"107",2010,4,"services","administrative and support services","other administrative and support services",90000,-400,2.9,3.5,2.6,50,-0.444444444444444,"2010 Q4"
"108",2010,4,"services","art, entertainment, recreation and other services","other community, social and personal services",294800,3000,3.6,2.9,2.2,80,1.01763907734057,"2010 Q4"
"109",2010,4,"manufacturing","manufacturing","other manufacturing industries",59700,500,1.9,1.8,1.2,40,0.837520938023451,"2010 Q4"
"110",2010,4,"services","professional services","other professional services",42200,200,2.6,2,2.2,10,0.4739336492891,"2010 Q4"
"111",2010,4,"services","transportation and storage","other transportation and storage services",57200,1000,1.5,2.9,1.8,20,1.74825174825175,"2010 Q4"
"112",2010,4,"manufacturing","manufacturing","paper / rubber / plastic products and printing",40900,-100,1.9,1.8,1.5,220,-0.244498777506112,"2010 Q4"
"113",2010,4,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",53300,-2700,1.2,1.1,0.8,20,-5.0656660412758,"2010 Q4"
"114",2010,4,"services","education, health and social services","public administration and education",203100,1200,4.3,0.8,0.5,30,0.590841949778434,"2010 Q4"
"115",2010,4,"services","wholesale and retail trade","retail trade",149500,4600,3.1,6,4.2,110,3.07692307692308,"2010 Q4"
"116",2010,4,"services","administrative and support services","security and investigation",33500,-400,6.4,5.3,4.5,0,-1.19402985074627,"2010 Q4"
"117",2010,4,"services","information and communications","telecommunications, broadcasting and publishing",37500,600,2.4,2.5,1.5,40,1.6,"2010 Q4"
"118",2010,4,"manufacturing","manufacturing","transport equipment",122600,-2500,1.9,1.3,1.1,20,-2.03915171288744,"2010 Q4"
"119",2010,4,"services","transportation and storage","water transport and supporting services",40500,300,1.4,1.8,1.1,20,0.740740740740741,"2010 Q4"
"120",2010,4,"services","wholesale and retail trade","wholesale trade",291200,3600,1.4,2,1.4,240,1.23626373626374,"2010 Q4"
"121",2011,1,"services","accommodation and food services","accommodation",33100,-300,5.1,3.6,2.6,140,-0.906344410876133,"2011 Q1"
"122",2011,1,"services","transportation and storage","air transport and supporting services",27800,600,2.7,1.7,0.9,30,2.15827338129496,"2011 Q1"
"123",2011,1,"services","professional services","architectural and engineering services",55400,900,1.7,2.4,1.6,10,1.62454873646209,"2011 Q1"
"124",2011,1,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",53000,300,5.5,2.6,1.8,10,0.566037735849057,"2011 Q1"
"125",2011,1,"services","administrative and support services","cleaning and landscaping",46400,800,2.6,5.4,5.3,0,1.72413793103448,"2011 Q1"
"126",2011,1,"construction","construction","construction",380800,2400,1.6,2.5,1.5,310,0.630252100840336,"2011 Q1"
"127",2011,1,"manufacturing","manufacturing","electronic, computer and optical products",99000,-1400,2.6,1.9,1.8,1010,-1.41414141414141,"2011 Q1"
"128",2011,1,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",109300,1600,1.8,2.1,1.5,150,1.46386093321135,"2011 Q1"
"129",2011,1,"services","financial and insurance services","financial services",122100,1200,2.9,2.3,1.2,130,0.982800982800983,"2011 Q1"
"130",2011,1,"services","accommodation and food services","food and beverage services",172900,600,3.3,4.7,4.5,20,0.347021399652979,"2011 Q1"
"131",2011,1,"manufacturing","manufacturing","food, beverages and tobacco",36500,300,2.2,2.9,2.8,0,0.821917808219178,"2011 Q1"
"132",2011,1,"services","education, health and social services","health and social services",101000,2200,3.7,2.2,1.4,0,2.17821782178218,"2011 Q1"
"133",2011,1,"services","financial and insurance services","insurance services",28300,100,3.5,2.6,1.4,10,0.353356890459364,"2011 Q1"
"134",2011,1,"services","information and communications","it and other information services",62900,2200,2.8,3.1,1.9,40,3.49761526232114,"2011 Q1"
"135",2011,1,"services","transportation and storage","land transport and supporting services",81700,100,4,2.4,1.7,0,0.122399020807834,"2011 Q1"
"136",2011,1,"services","professional services","legal, accounting and management services",88100,600,2.2,2.5,1.7,100,0.681044267877412,"2011 Q1"
"137",2011,1,"services","administrative and support services","other administrative and support services",92900,2900,3.3,3.8,2.8,20,3.1216361679225,"2011 Q1"
"138",2011,1,"services","art, entertainment, recreation and other services","other community, social and personal services",295500,600,3.6,2.8,2.4,20,0.203045685279188,"2011 Q1"
"139",2011,1,"manufacturing","manufacturing","other manufacturing industries",61000,1300,2.4,2.5,1.9,40,2.13114754098361,"2011 Q1"
"140",2011,1,"services","professional services","other professional services",43300,1100,3.2,2.5,2.1,170,2.54041570438799,"2011 Q1"
"141",2011,1,"services","transportation and storage","other transportation and storage services",57500,400,1.5,3,2.2,10,0.695652173913043,"2011 Q1"
"142",2011,1,"manufacturing","manufacturing","paper / rubber / plastic products and printing",40900,0,2.1,2.1,2,60,0,"2011 Q1"
"143",2011,1,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",52800,-500,1.5,1.3,0.8,140,-0.946969696969697,"2011 Q1"
"144",2011,1,"services","education, health and social services","public administration and education",208300,5300,4,1.4,0.7,0,2.54440710513682,"2011 Q1"
"145",2011,1,"services","wholesale and retail trade","retail trade",149500,0,3.1,4.8,5,20,0,"2011 Q1"
"146",2011,1,"services","administrative and support services","security and investigation",34500,1000,6.9,5.1,4.4,0,2.89855072463768,"2011 Q1"
"147",2011,1,"services","information and communications","telecommunications, broadcasting and publishing",37800,300,2.8,2.1,1.4,50,0.793650793650794,"2011 Q1"
"148",2011,1,"manufacturing","manufacturing","transport equipment",123200,600,3,1.6,1.2,40,0.487012987012987,"2011 Q1"
"149",2011,1,"services","transportation and storage","water transport and supporting services",40900,300,1.3,1.8,1.2,0,0.733496332518337,"2011 Q1"
"150",2011,1,"services","wholesale and retail trade","wholesale trade",292800,1600,1.8,2.3,1.8,180,0.546448087431694,"2011 Q1"
"151",2011,2,"services","accommodation and food services","accommodation",32900,-200,4.6,4.2,3.4,0,-0.60790273556231,"2011 Q2"
"152",2011,2,"services","transportation and storage","air transport and supporting services",28300,500,4.4,1.8,0.6,0,1.76678445229682,"2011 Q2"
"153",2011,2,"services","professional services","architectural and engineering services",56400,1000,1.7,2.9,1.9,60,1.77304964539007,"2011 Q2"
"154",2011,2,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",52900,-100,5.6,2.9,2.3,0,-0.189035916824197,"2011 Q2"
"155",2011,2,"services","administrative and support services","cleaning and landscaping",46500,100,3.3,5.2,4.8,0,0.21505376344086,"2011 Q2"
"156",2011,2,"construction","construction","construction",385600,4800,1.6,3,2,410,1.2448132780083,"2011 Q2"
"157",2011,2,"manufacturing","manufacturing","electronic, computer and optical products",98200,-800,3,2,1.8,270,-0.814663951120163,"2011 Q2"
"158",2011,2,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",110800,1500,2.3,2.3,1.6,160,1.35379061371841,"2011 Q2"
"159",2011,2,"services","financial and insurance services","financial services",123400,1300,3.4,2.6,1.8,130,1.05348460291734,"2011 Q2"
"160",2011,2,"services","accommodation and food services","food and beverage services",173700,800,4.1,5.3,4.8,80,0.460564191134139,"2011 Q2"
"161",2011,2,"manufacturing","manufacturing","food, beverages and tobacco",36400,-100,2.5,3.2,2.8,0,-0.274725274725275,"2011 Q2"
"162",2011,2,"services","education, health and social services","health and social services",103200,2200,4.2,2.7,1.4,0,2.13178294573643,"2011 Q2"
"163",2011,2,"services","financial and insurance services","insurance services",28400,100,3.2,3.5,2,40,0.352112676056338,"2011 Q2"
"164",2011,2,"services","information and communications","it and other information services",64600,1700,2.9,3.3,2,70,2.63157894736842,"2011 Q2"
"165",2011,2,"services","transportation and storage","land transport and supporting services",82200,500,4.1,2.6,1.9,20,0.608272506082725,"2011 Q2"
"166",2011,2,"services","professional services","legal, accounting and management services",88900,800,2.4,2.6,2,60,0.899887514060743,"2011 Q2"
"167",2011,2,"services","administrative and support services","other administrative and support services",97000,4100,3.2,4,2.9,10,4.22680412371134,"2011 Q2"
"168",2011,2,"services","art, entertainment, recreation and other services","other community, social and personal services",295600,100,3,2.8,2.7,130,0.03382949932341,"2011 Q2"
"169",2011,2,"manufacturing","manufacturing","other manufacturing industries",61300,300,2.2,2.4,2,30,0.489396411092985,"2011 Q2"
"170",2011,2,"services","professional services","other professional services",43700,400,3.4,2.7,2,40,0.91533180778032,"2011 Q2"
"171",2011,2,"services","transportation and storage","other transportation and storage services",58700,1200,1.5,3.3,2.5,10,2.0442930153322,"2011 Q2"
"172",2011,2,"manufacturing","manufacturing","paper / rubber / plastic products and printing",40700,-200,1.9,2.3,2.4,110,-0.491400491400491,"2011 Q2"
"173",2011,2,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",52800,0,1.8,1.5,1,20,0,"2011 Q2"
"174",2011,2,"services","education, health and social services","public administration and education",208200,-100,5.2,1.1,0.8,0,-0.048030739673391,"2011 Q2"
"175",2011,2,"services","wholesale and retail trade","retail trade",149900,400,3.1,4.6,4.3,160,0.266844563042028,"2011 Q2"
"176",2011,2,"services","administrative and support services","security and investigation",34700,200,7.2,5.4,4.6,0,0.576368876080692,"2011 Q2"
"177",2011,2,"services","information and communications","telecommunications, broadcasting and publishing",38000,200,4,2.8,1.9,70,0.526315789473684,"2011 Q2"
"178",2011,2,"manufacturing","manufacturing","transport equipment",124400,1200,3.2,1.7,1.3,10,0.964630225080386,"2011 Q2"
"179",2011,2,"services","transportation and storage","water transport and supporting services",41600,700,1.8,1.9,1.3,20,1.68269230769231,"2011 Q2"
"180",2011,2,"services","wholesale and retail trade","wholesale trade",294700,1900,1.8,2.8,1.8,110,0.644723447573804,"2011 Q2"
"181",2011,3,"services","accommodation and food services","accommodation",34200,1300,4.5,4.1,3.1,70,3.80116959064327,"2011 Q3"
"182",2011,3,"services","transportation and storage","air transport and supporting services",28600,300,4.5,1.7,1.2,0,1.04895104895105,"2011 Q3"
"183",2011,3,"services","professional services","architectural and engineering services",57100,700,1.7,3,1.6,60,1.22591943957968,"2011 Q3"
"184",2011,3,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",53700,800,3.1,3,2,10,1.48975791433892,"2011 Q3"
"185",2011,3,"services","administrative and support services","cleaning and landscaping",46700,200,4,4.7,4.2,0,0.428265524625268,"2011 Q3"
"186",2011,3,"construction","construction","construction",392100,6500,1.5,2.9,1.8,100,1.65774037235399,"2011 Q3"
"187",2011,3,"manufacturing","manufacturing","electronic, computer and optical products",96600,-1600,2.6,2.1,1.7,70,-1.65631469979296,"2011 Q3"
"188",2011,3,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",112900,2100,1.9,2.3,1.8,180,1.86005314437555,"2011 Q3"
"189",2011,3,"services","financial and insurance services","financial services",126300,2900,1.6,2.8,1.6,160,2.29612034837688,"2011 Q3"
"190",2011,3,"services","accommodation and food services","food and beverage services",175300,1600,4.8,5.1,4.6,30,0.912721049629207,"2011 Q3"
"191",2011,3,"manufacturing","manufacturing","food, beverages and tobacco",36900,500,4,3.5,3,0,1.3550135501355,"2011 Q3"
"192",2011,3,"services","education, health and social services","health and social services",105100,1900,3.1,2.4,1.5,0,1.80780209324453,"2011 Q3"
"193",2011,3,"services","financial and insurance services","insurance services",28300,-100,3.4,3.5,2,10,-0.353356890459364,"2011 Q3"
"194",2011,3,"services","information and communications","it and other information services",66300,1700,2.8,3.7,2.4,50,2.56410256410256,"2011 Q3"
"195",2011,3,"services","transportation and storage","land transport and supporting services",82200,0,3.6,2.9,1.9,40,0,"2011 Q3"
"196",2011,3,"services","professional services","legal, accounting and management services",90800,1900,2.3,3.8,2.3,140,2.09251101321586,"2011 Q3"
"197",2011,3,"services","administrative and support services","other administrative and support services",96000,-1000,3.7,4.8,3,30,-1.04166666666667,"2011 Q3"
"198",2011,3,"services","art, entertainment, recreation and other services","other community, social and personal services",297000,1400,4.5,3.3,2.7,10,0.471380471380471,"2011 Q3"
"199",2011,3,"manufacturing","manufacturing","other manufacturing industries",61500,200,2.3,2.1,1.9,270,0.32520325203252,"2011 Q3"
"200",2011,3,"services","professional services","other professional services",44400,700,3.2,3.4,2.3,40,1.57657657657658,"2011 Q3"
"201",2011,3,"services","transportation and storage","other transportation and storage services",58700,0,1.9,3.3,2.5,30,0,"2011 Q3"
"202",2011,3,"manufacturing","manufacturing","paper / rubber / plastic products and printing",40500,-200,2.1,2.1,2.1,120,-0.493827160493827,"2011 Q3"
"203",2011,3,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",52800,0,1.6,1.5,0.9,40,0,"2011 Q3"
"204",2011,3,"services","education, health and social services","public administration and education",209000,800,4.6,1.8,0.8,0,0.382775119617225,"2011 Q3"
"205",2011,3,"services","wholesale and retail trade","retail trade",150900,1000,4.3,4.2,4,20,0.662690523525513,"2011 Q3"
"206",2011,3,"services","administrative and support services","security and investigation",35700,1000,6.8,6,4.3,0,2.80112044817927,"2011 Q3"
"207",2011,3,"services","information and communications","telecommunications, broadcasting and publishing",38500,500,3.2,2.6,1.8,50,1.2987012987013,"2011 Q3"
"208",2011,3,"manufacturing","manufacturing","transport equipment",127100,2700,1.4,2.4,1.4,90,2.1243115656963,"2011 Q3"
"209",2011,3,"services","transportation and storage","water transport and supporting services",42900,1300,1.1,2.6,1.5,40,3.03030303030303,"2011 Q3"
"210",2011,3,"services","wholesale and retail trade","wholesale trade",296500,1800,2.4,3,2.1,250,0.6070826306914,"2011 Q3"
"211",2011,4,"services","accommodation and food services","accommodation",35400,1200,4.8,2.9,2.2,0,3.38983050847458,"2011 Q4"
"212",2011,4,"services","transportation and storage","air transport and supporting services",29100,500,4.8,1.7,0.9,0,1.71821305841924,"2011 Q4"
"213",2011,4,"services","professional services","architectural and engineering services",57600,500,1.8,2.3,1.3,60,0.868055555555556,"2011 Q4"
"214",2011,4,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",55800,2100,4.4,3,1.5,30,3.76344086021505,"2011 Q4"
"215",2011,4,"services","administrative and support services","cleaning and landscaping",46500,-200,3.3,4.9,4,10,-0.43010752688172,"2011 Q4"
"216",2011,4,"construction","construction","construction",400300,8200,1.3,3,1.6,240,2.0484636522608,"2011 Q4"
"217",2011,4,"manufacturing","manufacturing","electronic, computer and optical products",95100,-1500,2.2,1.4,1.2,680,-1.57728706624606,"2011 Q4"
"218",2011,4,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",112600,-300,2.4,1.6,1.3,140,-0.266429840142096,"2011 Q4"
