"","industry","occupation","jobtitle","company","jobspec","careerlevel","salary","qualifications","jobtype","experience","joblink"
"11","Accommodation And Food Services","Restaurant Manager","Area Manager","Stuff'd Ventures Pte Ltd","Accommodation And Food Services","Manager","SGD 3,500 , SGD 5,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/area-manager-8936653?jobId=jobstreet-sg-job-8936653&sectionRank=30&token=0~b0d3d48f-49f3-49cb-b869-f4a81bc446da&fr=SRP%20Job%20Listing"
"12","Accommodation And Food Services","Restaurant Manager","Barista","% Arabica Singapore","Accommodation And Food Services","Non-Executive","SGD 2,100 , SGD 2,600","Primary/Secondary School/O Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/barista-8946055?jobId=jobstreet-sg-job-8946055&sectionRank=74&token=0~234bb311-14d1-4bcc-aaa4-fd8134e49753&fr=SRP%20Job%20Listing"
"13","Accommodation And Food Services","Food And Beverage Operations Manager","Service Manager","Menu Pte Ltd","Accommodation And Food Services","Manager","SGD 2,200 , SGD 3,200","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level, Professional Certificate/NiTEC","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/service-manager-8997138?jobId=jobstreet-sg-job-8997138&sectionRank=1&token=0~b3aa03c7-daec-48f9-ab70-55ee9a5d2249&fr=SRP%20Job%20Listing"
"14","Accommodation And Food Services","Food And Beverage Operations Manager","Food &Amp; Beverage Service Executive (5 Days, Central)","Compass Group (S) Pte Ltd","Accommodation And Food Services","Junior Executive","SGD 2,300 , SGD 2,400","Primary/Secondary School/O Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/food-beverage-service-executive-5-days-central-8910746?jobId=jobstreet-sg-job-8910746&sectionRank=11&token=0~b3aa03c7-daec-48f9-ab70-55ee9a5d2249&fr=SRP%20Job%20Listing"
"15","Accommodation And Food Services","Food And Beverage Operations Manager","Sous Chef/Junior Sous/Chef De Partie","Nox - Dine In The Dark","Accommodation And Food Services","Manager","SGD 2,200 , SGD 3,300","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sous-chef-junior-sous-chef-de-partie-8986740?jobId=jobstreet-sg-job-8986740&sectionRank=22&token=0~b3aa03c7-daec-48f9-ab70-55ee9a5d2249&fr=SRP%20Job%20Listing"
"16","Accommodation And Food Services","Food And Beverage Operations Manager","Junior Sous Chef","Violet Oon Inc Pte Ltd","Accommodation And Food Services","Manager","SGD 3,200 , SGD 3,600","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/junior-sous-chef-8972354?jobId=jobstreet-sg-job-8972354&sectionRank=25&token=0~b3aa03c7-daec-48f9-ab70-55ee9a5d2249&fr=SRP%20Job%20Listing"
"17","Accommodation And Food Services","Food And Beverage Operations Manager","Ice Lab Cafe Service Staff (Full Time/ Manager Track), Starting 1,900+","Canis Majoris Management","Accommodation And Food Services","Junior Executive","SGD 1,900 , SGD 2,660","Not Specified","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/ice-lab-cafe-service-staff-full-time-manager-track-starting-1-900-8961977?jobId=jobstreet-sg-job-8961977&sectionRank=34&token=0~9fb5650d-3371-483a-a5ec-7c878799e35f&fr=SRP%20Job%20Listing"
"18","Accommodation And Food Services","Food And Beverage Operations Manager","Service Crew / Senior Service Crew","Tian Tian Holding Pte Ltd","Accommodation And Food Services","Non-Executive","SGD 2,500 , SGD 3,200","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/service-crew-senior-service-crew-8904946?jobId=jobstreet-sg-job-8904946&sectionRank=60&token=0~9fb5650d-3371-483a-a5ec-7c878799e35f&fr=SRP%20Job%20Listing"
"19","Accommodation And Food Services","Food And Beverage Operations Manager","Guest Relations Officer / Executive (Restaurant Hostess)","Zafferano Italian Restaurant & Lounge","Accommodation And Food Services","Junior Executive","SGD 1,800 , SGD 2,500","Higher Secondary/Pre-U/'A' Level, Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/guest-relations-officer-executive-restaurant-hostess-8836841?jobId=jobstreet-sg-job-8836841&sectionRank=61&token=0~611ef041-35df-420d-b8d7-d282a0b73d7e&fr=SRP%20Job%20Listing"
"20","Accommodation And Food Services","Catering Manager","Food &Amp; Beverage Service Executive (5 Days, Central)","Compass Group (S) Pte Ltd","Accommodation And Food Services","Junior Executive","SGD 2,300 , SGD 2,400","Primary/Secondary School/O Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/food-beverage-service-executive-5-days-central-8910746?jobId=jobstreet-sg-job-8910746&sectionRank=4&token=0~966f22d2-2fb5-4c6d-be78-75f43bb748b5&fr=SRP%20Job%20Listing"
"21","Art, Entertainment, Recreation And Other Services","Marketing Manager","Events Manager/Senior Manager","G.h.y Culture & Media (Singapore) Pte Ltd","Art, Entertainment, Recreation And Other Services","Senior Manager","SGD 4,000 , SGD 8,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/events-manager-senior-manager-8965098?jobId=jobstreet-sg-job-8965098&sectionRank=1&token=0~080b1232-fa7a-4864-a0eb-8a6091e6f372&fr=SRP%20Job%20Listing"
"22","Art, Entertainment, Recreation And Other Services","Event Manager","Events Manager/Senior Manager","G.h.y Culture & Media (Singapore) Pte Ltd","Art, Entertainment, Recreation And Other Services","Senior Manager","SGD 4,000 , SGD 8,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/events-manager-senior-manager-8965098?jobId=jobstreet-sg-job-8965098&sectionRank=1&token=0~309ab91a-7ac1-4736-ba56-2e89f65be605&fr=SRP%20Job%20Listing"
"23","Art, Entertainment, Recreation And Other Services","Advertising/Public Relations Manager","Events Manager/Senior Manager","G.h.y Culture & Media (Singapore) Pte Ltd","Art, Entertainment, Recreation And Other Services","Senior Manager","SGD 4,000 , SGD 8,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/events-manager-senior-manager-8965098?jobId=jobstreet-sg-job-8965098&sectionRank=2&token=0~75529c28-affc-4642-a4cc-548ebcca222f&fr=SRP%20Job%20Listing"
"24","Art, Entertainment, Recreation And Other Services","Computer Technician","Rma Engineer","D-Link International Pte Ltd","Art, Entertainment, Recreation And Other Services","Entry Level","SGD 2,100 , SGD 2,400","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/rma-engineer-8937457?jobId=jobstreet-sg-job-8937457&sectionRank=83&token=0~ae4e9933-deb0-491a-9c7d-9edbaa7732c2&fr=SRP%20Job%20Listing"
"25","Art, Entertainment, Recreation And Other Services","Sales Manager","Assistant Corporate Sales Manager","Guava Amenities Pte Ltd","Art, Entertainment, Recreation And Other Services","Junior Executive","SGD 3,500 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/assistant-corporate-sales-manager-9000342?jobId=jobstreet-sg-job-9000342&sectionRank=1&token=0~db783113-58df-4eb6-af52-7e7f072cf610&fr=SRP%20Job%20Listing"
"26","Art, Entertainment, Recreation And Other Services","Sales Manager","Regional Sales Manager","Satcom Global Pte Ltd","Art, Entertainment, Recreation And Other Services","Senior Executive","SGD 5,000 , SGD 10,000","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/regional-sales-manager-8966400?jobId=jobstreet-sg-job-8966400&sectionRank=29&token=0~db783113-58df-4eb6-af52-7e7f072cf610&fr=SRP%20Job%20Listing"
"27","Art, Entertainment, Recreation And Other Services","Sales Manager","Sales Account Executive","Procurri Singapore Pte Ltd","Art, Entertainment, Recreation And Other Services","Junior Executive","SGD 3,000 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-account-executive-8962071?jobId=jobstreet-sg-job-8962071&sectionRank=32&token=0~8f7cc301-cc74-4eec-9518-434cf7a5f624&fr=SRP%20Job%20Listing"
"28","Art, Entertainment, Recreation And Other Services","Sales Manager","Retail &Amp; Events Manager","Nature Landscapes Pte Ltd","Art, Entertainment, Recreation And Other Services","Manager","SGD 4,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/retail-events-manager-8941542?jobId=jobstreet-sg-job-8941542&sectionRank=48&token=0~8f7cc301-cc74-4eec-9518-434cf7a5f624&fr=SRP%20Job%20Listing"
"29","Art, Entertainment, Recreation And Other Services","Sales Manager","Sales Executive","Steigen","Art, Entertainment, Recreation And Other Services","Junior Executive","SGD 3,500 , SGD 4,900","Higher Secondary/Pre-U/'A' Level, Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-executive-8933915?jobId=jobstreet-sg-job-8933915&sectionRank=84&token=0~a583843b-02e5-4ed9-a10a-3bcc3ab310b5&fr=SRP%20Job%20Listing"
"30","Art, Entertainment, Recreation And Other Services","Marketing Manager","Retail &Amp; Events Manager","Nature Landscapes Pte Ltd","Art, Entertainment, Recreation And Other Services","Manager","SGD 4,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/retail-events-manager-8941542?jobId=jobstreet-sg-job-8941542&sectionRank=32&token=0~061fa2f4-1f67-4496-9d9b-4421d5cad250&fr=SRP%20Job%20Listing"
"31","Art, Entertainment, Recreation And Other Services","Event Manager","Retail &Amp; Events Manager","Nature Landscapes Pte Ltd","Art, Entertainment, Recreation And Other Services","Manager","SGD 4,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/retail-events-manager-8941542?jobId=jobstreet-sg-job-8941542&sectionRank=2&token=0~1fd8ae2d-9462-4eea-b08c-183bb021201f&fr=SRP%20Job%20Listing"
"32","Art, Entertainment, Recreation And Other Services","Customer Service Manager","Customer Service Coordinator","Killem Pest Pte Ltd","Art, Entertainment, Recreation And Other Services","Entry Level","SGD 2,000 , SGD 2,800","Primary/Secondary School/O Level","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/customer-service-coordinator-8937191?jobId=jobstreet-sg-job-8937191&sectionRank=13&token=0~ff9710ea-c102-4238-add6-6cdd42de3a29&fr=SRP%20Job%20Listing"
"33","Art, Entertainment, Recreation And Other Services","Customer Service Manager","Customer Service Executive","Sin Chew Woodpaq Pte. Ltd.","Art, Entertainment, Recreation And Other Services","Junior Executive","SGD 2,600 , SGD 3,500","Professional Certificate/NiTEC","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/customer-service-executive-8907644?jobId=jobstreet-sg-job-8907644&sectionRank=97&token=0~6c793628-5f02-4b96-a2e5-a96838d7d5db&fr=SRP%20Job%20Listing"
"34","Art, Entertainment, Recreation And Other Services","Business Development Manager","Assistant Corporate Sales Manager","Guava Amenities Pte Ltd","Art, Entertainment, Recreation And Other Services","Junior Executive","SGD 3,500 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/assistant-corporate-sales-manager-9000342?jobId=jobstreet-sg-job-9000342&sectionRank=4&token=0~bafb8f39-26e2-479e-af90-181615f7515b&fr=SRP%20Job%20Listing"
"35","Art, Entertainment, Recreation And Other Services","Business Development Manager","Regional Sales Manager","Satcom Global Pte Ltd","Art, Entertainment, Recreation And Other Services","Senior Executive","SGD 5,000 , SGD 10,000","Primary/Secondary School/O Level, Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/regional-sales-manager-8966400?jobId=jobstreet-sg-job-8966400&sectionRank=40&token=0~374e47d1-3d9a-4559-937e-9749895afe32&fr=SRP%20Job%20Listing"
"36","Art, Entertainment, Recreation And Other Services","Business Development Manager","Sales Account Executive","Procurri Singapore Pte Ltd","Art, Entertainment, Recreation And Other Services","Junior Executive","SGD 3,000 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-account-executive-8962071?jobId=jobstreet-sg-job-8962071&sectionRank=53&token=0~374e47d1-3d9a-4559-937e-9749895afe32&fr=SRP%20Job%20Listing"
"37","Art, Entertainment, Recreation And Other Services","Budgeting And Financial Accounting Manager","Business Development Director, Asean","Anthem","Art, Entertainment, Recreation And Other Services","Manager","SGD 10,000 , SGD 12,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/business-development-director-asean-8959584?jobId=jobstreet-sg-job-8959584&sectionRank=41&token=0~4676364e-fad9-49c1-92f2-0bf652cff8fc&fr=SRP%20Job%20Listing"
"38","Construction","Quantity Surveyor","Quantity Surveyor","Megabuilders & Development Pte Ltd","Construction","Senior Executive","SGD 3,500 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8936289?jobId=jobstreet-sg-job-8936289&sectionRank=5&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"39","Construction","Quantity Surveyor","Builder Quantity Surveyor (Tender)","Gennal Industries Pte Ltd","Construction","Junior Executive","SGD 2,200 , SGD 3,080","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/builder-quantity-surveyor-tender-8948901?jobId=jobstreet-sg-job-8948901&sectionRank=6&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"40","Construction","Quantity Surveyor","Site Quantity Surveyor","Seng Foo Building Construction Pte Ltd","Construction","Junior Executive","SGD 2,400 , SGD 3,200","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/site-quantity-surveyor-8963951?jobId=jobstreet-sg-job-8963951&sectionRank=9&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"41","Construction","Quantity Surveyor","Quantity Surveyor","P & A Link Pte Ltd","Construction","Junior Executive","SGD 2,500 , SGD 3,500","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8994235?jobId=jobstreet-sg-job-8994235&sectionRank=10&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"42","Construction","Quantity Surveyor","Quantity Surveyor","Kitchen & Kitchen Pte Ltd","Construction","Junior Executive","SGD 3,000 , SGD 3,800","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8996243?jobId=jobstreet-sg-job-8996243&sectionRank=13&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"43","Construction","Quantity Surveyor","Quantity Surveyor","F&L Reinstatement Pte Ltd","Construction","Junior Executive","SGD 2,800 , SGD 3,800","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8959096?jobId=jobstreet-sg-job-8959096&sectionRank=15&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"44","Construction","Quantity Surveyor","Quantity Surveyor","Chuan Lim Construction Pte Ltd","Construction","Junior Executive","SGD 2,500 , SGD 4,500","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8989834?jobId=jobstreet-sg-job-8989834&sectionRank=17&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"45","Construction","Quantity Surveyor","Senior Quantity Surveyor (Sqs) / Quantity Surveyor (Qs)","Or Kim Peow Contractors (Pte) Ltd","Construction","Senior Executive","SGD 3,500 , SGD 6,000","Not Specified","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/senior-quantity-surveyor-sqs-quantity-surveyor-qs-8936163?jobId=jobstreet-sg-job-8936163&sectionRank=20&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"46","Construction","Quantity Surveyor","Quantity Surveyor","Qs Consultants Pte Ltd","Construction","Junior Executive","SGD 3,000 , SGD 4,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8982667?jobId=jobstreet-sg-job-8982667&sectionRank=23&token=0~db548269-cf60-4d81-af00-a8222141f818&fr=SRP%20Job%20Listing"
"47","Construction","Quantity Surveyor","Quantity Surveyor","Nc Contractor Pte. Ltd.","Construction","Junior Executive","SGD 2,800 , SGD 3,400","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8957035?jobId=jobstreet-sg-job-8957035&sectionRank=36&token=0~7efa2d19-ff7e-427f-b573-0fb6d7bca253&fr=SRP%20Job%20Listing"
"48","Construction","Quantity Surveyor","Quantity Surveyor / Senior Quantity Surveyor","Gamuda Berhad Singapore Branch","Construction","Senior Executive","SGD 4,000 , SGD 6,000","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-senior-quantity-surveyor-8977930?jobId=jobstreet-sg-job-8977930&sectionRank=43&token=0~7efa2d19-ff7e-427f-b573-0fb6d7bca253&fr=SRP%20Job%20Listing"
"49","Construction","Quantity Surveyor","Junior Quantity Surveyor","Trace Design + Build Pte Ltd","Construction","Junior Executive","SGD 3,000 , SGD 3,800","Professional Certificate/NiTEC","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/junior-quantity-surveyor-8980866?jobId=jobstreet-sg-job-8980866&sectionRank=49&token=0~7efa2d19-ff7e-427f-b573-0fb6d7bca253&fr=SRP%20Job%20Listing"
"50","Construction","Quantity Surveyor","Quantity Surveyor","Jangho Group Co., Ltd Singapore Branch","Construction","Senior Executive","SGD 4,000 , SGD 5,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8926511?jobId=jobstreet-sg-job-8926511&sectionRank=54&token=0~7efa2d19-ff7e-427f-b573-0fb6d7bca253&fr=SRP%20Job%20Listing"
"51","Construction","Quantity Surveyor","Contract Manager (Precast)","Soilbuild Construction Group Limited","Construction","Manager","SGD 5,000 , SGD 7,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/contract-manager-precast-8945045?jobId=jobstreet-sg-job-8945045&sectionRank=65&token=0~d5bd9a31-3afb-4216-9b1a-ec16d78088ed&fr=SRP%20Job%20Listing"
"52","Construction","Quantity Surveyor","Quantity Surveyor","Hong Hock Global Pte. Ltd","Construction","Entry Level","SGD 2,000 , SGD 2,800","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/quantity-surveyor-8946153?jobId=jobstreet-sg-job-8946153&sectionRank=67&token=0~d5bd9a31-3afb-4216-9b1a-ec16d78088ed&fr=SRP%20Job%20Listing"
"53","Construction","Mechanical Engineer","Project Engineer","Company Confidential","Construction","Senior Executive","SGD 5,200 , SGD 5,600","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/project-engineer-8999034?jobId=jobstreet-sg-job-8999034&sectionRank=2&token=0~c4384aa5-78d6-4b0e-9834-c2b86a4526a5&fr=SRP%20Job%20Listing"
"54","Construction","Mechanical Engineer","Elv Project Engineer","Comnet Systems Pte Ltd","Construction","Senior Executive","SGD 3,200 , SGD 5,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/elv-project-engineer-8939500?jobId=jobstreet-sg-job-8939500&sectionRank=4&token=0~c4384aa5-78d6-4b0e-9834-c2b86a4526a5&fr=SRP%20Job%20Listing"
"55","Construction","Mechanical Engineer","Project Manager (Construction)","Bes Technology Pte Ltd","Construction","Junior Executive","SGD 3,000 , SGD 4,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/project-manager-construction-8995301?jobId=jobstreet-sg-job-8995301&sectionRank=5&token=0~c4384aa5-78d6-4b0e-9834-c2b86a4526a5&fr=SRP%20Job%20Listing"
"56","Construction","Mechanical Engineer","Project Engineer","Lantro (S) Pte Ltd","Construction","Junior Executive","SGD 2,000 , SGD 3,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/project-engineer-8940567?jobId=jobstreet-sg-job-8940567&sectionRank=6&token=0~c4384aa5-78d6-4b0e-9834-c2b86a4526a5&fr=SRP%20Job%20Listing"
"57","Construction","Mechanical Engineer","Project Engineer - Mechanical &Amp; Electrical System","M-Tech Air-Con & Security Engineering Pte Ltd","Construction","Junior Executive","SGD 2,800 , SGD 3,500","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/project-engineer-mechanical-electrical-system-8960475?jobId=jobstreet-sg-job-8960475&sectionRank=11&token=0~c4384aa5-78d6-4b0e-9834-c2b86a4526a5&fr=SRP%20Job%20Listing"
"58","Construction","Mechanical Engineer","Mechanical Engineer","Company Confidential","Construction","Junior Executive","SGD 4,000 , SGD 5,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/mechanical-engineer-8986947?jobId=jobstreet-sg-job-8986947&sectionRank=20&token=0~c4384aa5-78d6-4b0e-9834-c2b86a4526a5&fr=SRP%20Job%20Listing"
