"","SSOC","Year","Industry","Level","Occupation","Basic Wage -  25th Percentile ($)","Basic Wage -  Median  ($)","Basic Wage -  75th Percentile ($)","Gross Wage -  25th Percentile ($)","Gross Wage -  Median  ($)","Gross Wage -  75th Percentile ($)"
"24","2151",2019,"manufacturing","professionals","Electrical engineer","4055","5077","6606","4381","5391","6999"
"25","2152",2019,"manufacturing","professionals","Electronics engineer","4140","5458","7217","4509","5828","7534"
"26","24131",2019,"manufacturing","professionals","Financial analyst ","4922","6116","7660","4964","6483","7718"
"27","21496",2019,"manufacturing","professionals","Food and drink technologist","3397","5328","8097","3718","5761","8097"
"28","21661",2019,"manufacturing","professionals","Graphic designer","2700","3000","3780","2841","3400","3780"
"29","24231",2019,"manufacturing","professionals","Human resource consultant ","5100","6013","7153","5125","6174","7490"
"30","2141",2019,"manufacturing","professionals","Industrial and production engineer","4400","5598","7250","4667","6008","7861"
"31","21493",2019,"manufacturing","professionals","Industrial safety engineer","4860","6427","8524","5070","6747","8947"
"32","2421",2019,"manufacturing","professionals","Management and business consultant","4900","7092","8061","4900","7534","8635"
"33","2144",2019,"manufacturing","professionals","Mechanical engineer","4284","5159","6461","4619","5530","6973"
"34","25220",2019,"manufacturing","professionals","Network, servers and computer systems administrator","4145","5585","7069","4250","5970","7550"
"35","25230",2019,"manufacturing","professionals","Network/Infrastructure architect, engineer and specialist","4781","7703","9375","4794","7703","9375"
"36","21632",2019,"manufacturing","professionals","Product and industrial designer","4884","5951","7238","4884","5951","7261"
"37","2512",2019,"manufacturing","professionals","Software, web and multimedia developer","5314","6457","8011","5486","6826","8051"
"38","2511",2019,"manufacturing","professionals","Systems analyst","4702","6200","8670","4820","6341","8720"
"39","24331",2019,"manufacturing","professionals","Technical sales professional","3441","4310","6798","3850","4700","7395"
"40","21530",2019,"manufacturing","professionals","Telecommunications engineer","4281","5063","6185","4381","5167","6302"
"41","33130",2019,"manufacturing","associate professionals and technicians","Accounting associate professional ","2950","3500","4014","3000","3571","4258"
"42","31006",2019,"manufacturing","associate professionals and technicians","Assistant manufacturing engineer","2746","3173","3747","3117","3715","4825"
"43","31004",2019,"manufacturing","associate professionals and technicians","Assistant mechanical engineer","2741","3218","3845","3438","4348","5812"
"44","3171",2019,"manufacturing","associate professionals and technicians","Building and fire inspector","2609","3381","4053","2650","3950","4793"
"45","33221",2019,"manufacturing","associate professionals and technicians","Business development executive","3804","5031","6020","3804","5141","6473"
"46","3323",2019,"manufacturing","associate professionals and technicians","Buyer and purchasing agent","3198","4050","5330","3258","4190","5543"
"47","3116",2019,"manufacturing","associate professionals and technicians","Chemical engineering technician","2388","3150","3890","4413","5738","7879"
"48","31111",2019,"manufacturing","associate professionals and technicians","Chemistry technician","2430","3002","3600","2928","3845","4833"
"49","33311",2019,"manufacturing","associate professionals and technicians","Clearing and forwarding agent","3009","3500","4390","3249","3690","4400"
"50","3322",2019,"manufacturing","associate professionals and technicians","Commercial and marketing sales executive","2800","3600","4600","2998","3750","4832"
"51","35120",2019,"manufacturing","associate professionals and technicians","Computer technician ","2605","3190","4150","2708","3318","4335"
"52","3118",2019,"manufacturing","associate professionals and technicians","Draughtsman","2300","2900","3812","2373","3000","3812"
"53","3113",2019,"manufacturing","associate professionals and technicians","Electrical engineering technician","2250","2590","3101","2850","3671","4771"
"54","3114",2019,"manufacturing","associate professionals and technicians","Electronics engineering technician","2255","2473","3260","2350","3057","4659"
"55","31412",2019,"manufacturing","associate professionals and technicians","Food science technician","2200","2584","3292","3200","3742","4419"
"56","3345",2019,"manufacturing","associate professionals and technicians","Human resource associate professional","3058","3712","5050","3081","3862","5122"
"57","33491",2019,"manufacturing","associate professionals and technicians","Management executive","2856","3537","4288","3000","3655","4400"
"58","3117",2019,"manufacturing","associate professionals and technicians","Manufacturing engineering technician","2274","2873","3535","3177","4090","5355"
"59","3115",2019,"manufacturing","associate professionals and technicians","Mechanical engineering technician","2500","2980","3485","3195","3985","5088"
"60","33492",2019,"manufacturing","associate professionals and technicians","Operations officer ","3050","3736","4515","3272","3936","5033"
"61","4311",2019,"manufacturing","clerical support workers","Accounting and bookkeeping clerk","1803","2291","2800","1913","2400","2902"
"62","40000",2019,"manufacturing","clerical support workers","Clerical supervisor","2550","3297","4220","2800","3722","4590"
"63","4110",2019,"manufacturing","clerical support workers","General office clerk","1300","2000","2550","1300","2100","2850"
"64","4322",2019,"manufacturing","clerical support workers","Production clerk","2039","2458","2980","2265","2904","3448"
"65","4224",2019,"manufacturing","clerical support workers","Receptionist, customer service and information clerk","2472","3224","4200","2596","3387","4253"
"66","41201",2019,"manufacturing","clerical support workers","Secretary","3399","4239","5231","3500","4386","5360"
"67","4321",2019,"manufacturing","clerical support workers","Stock clerk","1800","2200","2613","2050","2561","3194"
"68","4323",2019,"manufacturing","clerical support workers","Transport clerk","2285","2600","2950","2467","2844","3300"
"69","52421",2019,"manufacturing","service and sales workers","Sales demonstrator","2861","2953","3072","2861","2953","3758"
"70","52422",2019,"manufacturing","service and sales workers","Salesperson (door-to-door)","1300","1300","1865","2276","2905","3473"
"71","5414",2019,"manufacturing","service and sales workers","Security guard","1251","1344","1557","1841","2222","2492"
"72","52202",2019,"manufacturing","service and sales workers","Shop sales assistant","1200","1300","1500","1236","1337","1731"
"73","7232",2019,"manufacturing","craftsmen and related trades workers","Aircraft engine mechanic and repairer","2144","2369","2809","2369","2844","3238"
"74","72331",2019,"manufacturing","craftsmen and related trades workers","Machinery mechanic","1907","2227","2492","2543","3355","4390"
"75","71000",2019,"manufacturing","craftsmen and related trades workers","Supervisor/General foreman (building and related trades)","2601","3100","3600","3000","3457","4128"
"76","75000",2019,"manufacturing","craftsmen and related trades workers","Supervisor/General foreman (food processing, woodworking, garment, leather and related trades)","2000","2486","3036","2500","3369","4735"
"77","72000",2019,"manufacturing","craftsmen and related trades workers","Supervisor/General foreman (metal, machinery and related trades)","2426","3022","3507","3058","3500","4355"
"78","72221",2019,"manufacturing","craftsmen and related trades workers","Tool and die maker","2780","3419","3800","3292","3998","4633"
"79","72121",2019,"manufacturing","craftsmen and related trades workers","Welder","1800","2000","2500","2130","2700","3341"
"80","8212",2019,"manufacturing","plant and machine operators and assemblers","Electrical and electronic equipment assembler","1270","1430","1707","1621","2159","2602"
"81","83441",2019,"manufacturing","plant and machine operators and assemblers","Fork lift truck operator","1550","1650","1825","1765","2312","2774"
"82","8165",2019,"manufacturing","plant and machine operators and assemblers","Fruit, vegetable and nut products machine operator","1120","1180","1430","1200","1400","1574"
"83","83321",2019,"manufacturing","plant and machine operators and assemblers","Lorry driver","1600","1851","2110","1825","2238","2797"
"84","8125",2019,"manufacturing","plant and machine operators and assemblers","Machine-tool setter-operator","1443","2000","2450","1737","2450","3202"
"85","81830",2019,"manufacturing","plant and machine operators and assemblers","Packing/Bottling/Labelling machine operator","1129","1300","1585","1300","1600","1872"
"86","8143",2019,"manufacturing","plant and machine operators and assemblers","Paper and paperboard products machine operator","1179","1520","2079","1269","1874","3647"
"87","81331",2019,"manufacturing","plant and machine operators and assemblers","Pharmaceutical products machine operator","1293","1489","1939","1459","1642","2847"
"88","81420",2019,"manufacturing","plant and machine operators and assemblers","Plastic products machine operator","869","1223","1413","1279","1467","1992"
"89","8184",2019,"manufacturing","plant and machine operators and assemblers","Printing, binding and related machine operator","1400","1724","2020","1755","1988","2400"
"90","8213",2019,"manufacturing","plant and machine operators and assemblers","Quality checker and tester","1435","1967","2442","1976","2480","3138"
"91","81000",2019,"manufacturing","plant and machine operators and assemblers","Stationary plant and machine supervisor/General foreman","2233","2822","3600","2839","3570","4639"
"92","82000",2019,"manufacturing","plant and machine operators and assemblers","Supervisor/General foreman of assembler and quality checker","3042","4117","5199","3563","5145","7013"
"93","83223",2019,"manufacturing","plant and machine operators and assemblers","Van driver","1364","1610","1907","1680","1927","2350"
"94","93334",2019,"manufacturing","cleaners, labourers and related workers","Godown labourer","1588","2000","2318","1850","2170","2749"
"95","93201",2019,"manufacturing","cleaners, labourers and related workers","Hand packer","1200","1300","1490","1226","1460","1930"
"96","91130",2019,"manufacturing","cleaners, labourers and related workers","Office cleaner","1189","1235","1396","1200","1300","1500"
"97","12112",2019,"construction","managers","Administration manager","3050","4000","5500","3050","4000","5650"
"98","12111",2019,"construction","managers","Budgeting and financial accounting manager ","4400","6000","8000","4500","6000","8000"
"99","13231",2019,"construction","managers","Building and construction project manager","4000","5500","7480","4100","5900","7800"
"100","12212",2019,"construction","managers","Business development manager","4935","6100","8700","5000","6343","9000"
"101","11203",2019,"construction","managers","Chief operating officer/General Manager","5200","7900","12478","5200","7925","12660"
"102","1212",2019,"construction","managers","Human resource manager","3150","4750","6050","3150","5000","6125"
"103","11201",2019,"construction","managers","Managing director/Chief executive officer","4432","7000","10000","4500","7000","10825"
"104","12211",2019,"construction","managers","Sales and marketing manager","3350","5000","6911","4000","5500","8093"
"105","13291",2019,"construction","managers","Technical/Engineering services manager ","4450","5636","7350","4800","6157","8062"
"106","24111",2019,"construction","professionals","Accountant ","3000","4000","4717","3000","4000","4717"
"107","2142",2019,"construction","professionals","Civil engineer","3300","4000","5000","3550","4180","5100"
"108","2151",2019,"construction","professionals","Electrical engineer","3090","3600","4800","3333","4120","5250"
"109","21493",2019,"construction","professionals","Industrial safety engineer","4600","5650","7000","5000","5900","7200"
"110","2144",2019,"construction","professionals","Mechanical engineer","3300","3829","4675","3400","4065","5000"
"111","21494",2019,"construction","professionals","Quantity surveyor","3500","4200","5000","3500","4200","5000"
"112","33130",2019,"construction","associate professionals and technicians","Accounting associate professional ","2900","3383","3850","2900","3392","3883"
"113","3171",2019,"construction","associate professionals and technicians","Building and fire inspector","3000","3500","4785","3250","4000","5150"
"114","3323",2019,"construction","associate professionals and technicians","Buyer and purchasing agent","2420","3155","3800","2475","3155","4000"
"115","3112",2019,"construction","associate professionals and technicians","Civil engineering technician","2400","2996","3600","2700","3300","4000"
"116","3322",2019,"construction","associate professionals and technicians","Commercial and marketing sales executive","1725","3000","3788","2285","3600","4488"
"117","3118",2019,"construction","associate professionals and technicians","Draughtsman","2778","3500","4050","2823","3526","4200"
"118","3345",2019,"construction","associate professionals and technicians","Human resource associate professional","2900","3300","3800","2900","3350","3910"
"119","33491",2019,"construction","associate professionals and technicians","Management executive","2450","2952","3700","2500","3000","3710"
"120","3115",2019,"construction","associate professionals and technicians","Mechanical engineering technician","2200","2550","3700","2356","2999","3820"
"121","33492",2019,"construction","associate professionals and technicians","Operations officer ","1550","2880","3700","2000","3060","3710"
"122","4311",2019,"construction","clerical support workers","Accounting and bookkeeping clerk","1300","1600","2700","1300","1600","2700"
"123","4110",2019,"construction","clerical support workers","General office clerk","1200","1316","1930","1210","1320","2000"
"124","4224",2019,"construction","clerical support workers","Receptionist, customer service and information clerk","1400","2133","2800","1400","2219","2800"
"125","41201",2019,"construction","clerical support workers","Secretary","1880","3256","4000","1880","3256","4000"
"126","4321",2019,"construction","clerical support workers","Stock clerk","1300","1600","2300","1300","1600","2300"
"127","71000",2019,"construction","craftsmen and related trades workers","Supervisor/General foreman (building and related trades)","1728","2645","3697","1800","2893","4000"
"128","74000",2019,"construction","craftsmen and related trades workers","Supervisor/General foreman (electrical and electronic trades)","2314","2745","3200","2909","3398","3964"
"129","8343",2019,"construction","plant and machine operators and assemblers","Crane, hoist and related equipment operator","2100","2695","3270","2500","4000","5198"
"130","83431",2019,"construction","plant and machine operators and assemblers","Crane/Hoist operator","2100","2695","3270","2500","4000","5198"
"131","83321",2019,"construction","plant and machine operators and assemblers","Lorry driver","1300","1700","2112","1300","2000","2754"
"132","93100",2019,"construction","cleaners, labourers and related workers","Civil engineering/Building construction labourer","1300","1350","1500","1300","1350","1500"
"133","91130",2019,"construction","cleaners, labourers and related workers","Office cleaner","1200","1200","1300","1200","1250","1311"
"134","12112",2019,"wholesale and retail trade","managers","Administration manager","4200","6018","9491","4293","6233","9610"
"135","12111",2019,"wholesale and retail trade","managers","Budgeting and financial accounting manager ","6274","8503","13081","6300","8600","13174"
"136","12212",2019,"wholesale and retail trade","managers","Business development manager","5560","8256","12500","6000","8500","13268"
"137","11203",2019,"wholesale and retail trade","managers","Chief operating officer/General Manager","8000","12000","21724","8226","12663","22853"
"138","12241",2019,"wholesale and retail trade","managers","Customer service manager","5100","8021","12905","5369","8634","13685"
"139","1212",2019,"wholesale and retail trade","managers","Human resource manager","5850","8647","12838","6000","9000","13221"
"140","13304",2019,"wholesale and retail trade","managers","IT service manager","6026","8366","11910","6026","8712","12200"
"141","11201",2019,"wholesale and retail trade","managers","Managing director/Chief executive officer","5000","9000","17692","5160","9878","18700"
"142","13303",2019,"wholesale and retail trade","managers","Network and communications manager","6662","8438","12072","6800","9070","12479"
"143","13242",2019,"wholesale and retail trade","managers","Procurement/Purchasing manager","4700","6418","10733","4992","6501","11339"
"144","13292",2019,"wholesale and retail trade","managers","Quality assurance manager","4780","7730","11190","5162","8054","11262"
"145","12230",2019,"wholesale and retail trade","managers","Research and development manager","8741","11774","12896","8891","12328","13328"
"146","14201",2019,"wholesale and retail trade","managers","Retail/Shop sales manager","2605","3240","4405","2900","3871","5510"
"147","12211",2019,"wholesale and retail trade","managers","Sales and marketing manager","5000","6730","10325","5377","7330","10910"
"148","13241",2019,"wholesale and retail trade","managers","Supply and distribution/Logistics/Warehousing manager","4300","5984","8515","4472","6104","8732"
"149","13291",2019,"wholesale and retail trade","managers","Technical/Engineering services manager ","5508","7450","11147","6015","8010","12000"
"150","14202",2019,"wholesale and retail trade","managers","Wholesale trade manager","4690","6500","10500","4930","7000","10810"
"151","24111",2019,"wholesale and retail trade","professionals","Accountant ","4297","5000","6062","4400","5138","6150"
"152","25140",2019,"wholesale and retail trade","professionals","Applications/Systems programmer","3950","4950","8240","4000","5015","8890"
"153","24144",2019,"wholesale and retail trade","professionals","Commodities derivatives broker","6100","7510","17868","6100","7510","17868"
"154","24132",2019,"wholesale and retail trade","professionals","Compliance officer/Risk analyst (financial)","7231","9576","12768","7725","9858","13193"
"155","2151",2019,"wholesale and retail trade","professionals","Electrical engineer","3500","3980","8597","3717","4625","8597"
"156","2152",2019,"wholesale and retail trade","professionals","Electronics engineer","4944","7072","10284","5588","8000","13175"
"157","24131",2019,"wholesale and retail trade","professionals","Financial analyst ","5956","7149","8600","6500","7299","9007"
"158","21661",2019,"wholesale and retail trade","professionals","Graphic designer","2550","2920","3408","2550","3000","3408"
"159","24231",2019,"wholesale and retail trade","professionals","Human resource consultant ","4488","7000","9600","4703","7280","9906"
"160","24333",2019,"wholesale and retail trade","professionals","ICT sales professional","2195","3775","6304","3662","4504","6304"
"161","2141",2019,"wholesale and retail trade","professionals","Industrial and production engineer","3937","5290","8205","4150","5485","8844"
"162","26112",2019,"wholesale and retail trade","professionals","In-house legal counsel ","12012","16330","22500","12012","18350","23100"
"163","2421",2019,"wholesale and retail trade","professionals","Management and business consultant","5245","7075","11154","5537","7297","12000"
"164","24312",2019,"wholesale and retail trade","professionals","Market research analyst","6165","9387","14231","6165","9431","14681"
"165","2144",2019,"wholesale and retail trade","professionals","Mechanical engineer","3738","4300","5095","4056","4717","5520"
"166","24332",2019,"wholesale and retail trade","professionals","Medical and pharmaceutical products sales professional","3970","4400","5660","5076","6200","7450"
"167","25220",2019,"wholesale and retail trade","professionals","Network, servers and computer systems administrator","3650","4333","5083","3821","4512","5467"
"168","25230",2019,"wholesale and retail trade","professionals","Network/Infrastructure architect, engineer and specialist","4389","5500","6200","4389","5590","6763"
"169","22670",2019,"wholesale and retail trade","professionals","Optometrist","2800","3400","3500","3146","3648","4249"
"170","2262",2019,"wholesale and retail trade","professionals","Pharmacist","3400","3738","4943","4310","4668","5556"
"171","2512",2019,"wholesale and retail trade","professionals","Software, web and multimedia developer","3355","4800","8341","3550","4995","8381"
"172","2511",2019,"wholesale and retail trade","professionals","Systems analyst","5037","6635","9083","5090","7223","9531"
"173","24331",2019,"wholesale and retail trade","professionals","Technical sales professional","3400","3939","4809","3658","5000","12560"
"174","33130",2019,"wholesale and retail trade","associate professionals and technicians","Accounting associate professional ","3000","3580","4275","3000","3600","4333"
"175","33222",2019,"wholesale and retail trade","associate professionals and technicians","After sales adviser/Client account service executive","3200","4087","6850","3887","4961","7174"
"176","33221",2019,"wholesale and retail trade","associate professionals and technicians","Business development executive","3383","4175","5445","3618","4447","5858"
"177","3323",2019,"wholesale and retail trade","associate professionals and technicians","Buyer and purchasing agent","3000","3600","4368","3100","3700","4688"
"178","34340",2019,"wholesale and retail trade","associate professionals and technicians","Chef","2475","3100","4372","3109","3567","4739"
"179","33311",2019,"wholesale and retail trade","associate professionals and technicians","Clearing and forwarding agent","2500","3200","3750","2500","3200","3750"
"180","3322",2019,"wholesale and retail trade","associate professionals and technicians","Commercial and marketing sales executive","3000","3553","4530","3217","3999","5030"
"181","35120",2019,"wholesale and retail trade","associate professionals and technicians","Computer technician ","2300","3050","4150","2400","3225","4322"
"182","34323",2019,"wholesale and retail trade","associate professionals and technicians","Display artist","2100","2900","3661","2300","3158","3900"
"183","3345",2019,"wholesale and retail trade","associate professionals and technicians","Human resource associate professional","3200","3979","4721","3300","4046","4832"
"184","33491",2019,"wholesale and retail trade","associate professionals and technicians","Management executive","2800","3500","4541","2995","3570","4600"
"185","3115",2019,"wholesale and retail trade","associate professionals and technicians","Mechanical engineering technician","2554","2985","3459","2852","3524","4274"
"186","33492",2019,"wholesale and retail trade","associate professionals and technicians","Operations officer ","3000","3700","4789","3118","3798","4900"
"187","32540",2019,"wholesale and retail trade","associate professionals and technicians","Optician","3500","3750","4000","3500","3750","4000"
"188","4311",2019,"wholesale and retail trade","clerical support workers","Accounting and bookkeeping clerk","2150","2600","3020","2200","2660","3223"
"189","40000",2019,"wholesale and retail trade","clerical support workers","Clerical supervisor","2341","3004","3669","2623","3300","3933"
"190","4110",2019,"wholesale and retail trade","clerical support workers","General office clerk","1725","2289","2798","1847","2424","2900"
"191","4224",2019,"wholesale and retail trade","clerical support workers","Receptionist, customer service and information clerk","2415","3050","3609","2593","3194","3818"
"192","41201",2019,"wholesale and retail trade","clerical support workers","Secretary","4270","5285","6276","4333","5344","6333"
"193","4321",2019,"wholesale and retail trade","clerical support workers","Stock clerk","1941","2200","2580","2064","2373","2800"
"194","4323",2019,"wholesale and retail trade","clerical support workers","Transport clerk","2000","2333","2950","2310","2876","3555"
"195","52302",2019,"wholesale and retail trade","service and sales workers","Cashier","1380","1420","1420","1513","1555","1754"
"196","52421",2019,"wholesale and retail trade","service and sales workers","Sales demonstrator","1438","1670","2000","1681","2043","2500"
"197","52201",2019,"wholesale and retail trade","service and sales workers","Sales supervisor","1595","1839","2575","2085","2721","3645"
"198","52422",2019,"wholesale and retail trade","service and sales workers","Salesperson (door-to-door)","1460","1650","2000","2045","2687","3920"
"199","52202",2019,"wholesale and retail trade","service and sales workers","Shop sales assistant","1203","1430","1700","1600","2070","3018"
"200","72333",2019,"wholesale and retail trade","craftsmen and related trades workers","Industrial/Office machinery mechanic","2000","2112","2652","2415","2721","3248"
"201","72311",2019,"wholesale and retail trade","craftsmen and related trades workers","Motor vehicle mechanic","2535","2760","2949","2808","3046","3643"
"202","72000",2019,"wholesale and retail trade","craftsmen and related trades workers","Supervisor/General foreman (metal, machinery and related trades)","2900","3197","3600","3219","3997","4480"
"203","83222",2019,"wholesale and retail trade","plant and machine operators and assemblers","Chauffeur","2095","2400","2838","2340","3050","3909"
"204","83321",2019,"wholesale and retail trade","plant and machine operators and assemblers","Lorry driver","1750","2100","2382","2004","2319","2853"
"205","83223",2019,"wholesale and retail trade","plant and machine operators and assemblers","Van driver","1800","2000","2258","1900","2100","2498"
"206","93334",2019,"wholesale and retail trade","cleaners, labourers and related workers","Godown labourer","1600","1651","1950","1600","1675","2155"
"207","93201",2019,"wholesale and retail trade","cleaners, labourers and related workers","Hand packer","1200","1350","1380","1300","1513","1650"
"208","93335",2019,"wholesale and retail trade","cleaners, labourers and related workers","Lorry attendant","1450","1740","1850","1683","1890","2051"
"209","91130",2019,"wholesale and retail trade","cleaners, labourers and related workers","Office cleaner","1200","1325","1500","1200","1325","1500"
"210","12112",2019,"transportation and storage","managers","Administration manager","4544","7575","11210","4959","7732","12030"
"211","12220",2019,"transportation and storage","managers","Advertising/Public relations manager","5720","7125","8855","5940","7523","9926"
"212","12111",2019,"transportation and storage","managers","Budgeting and financial accounting manager ","5830","7565","10235","5952","7792","10800"
"213","12212",2019,"transportation and storage","managers","Business development manager","5565","7696","11250","6000","7800","12155"
"214","11203",2019,"transportation and storage","managers","Chief operating officer/General Manager","8000","10555","15300","8800","12750","17643"
"215","12241",2019,"transportation and storage","managers","Customer service manager","4490","5809","8657","4691","6095","8957"
"216","1212",2019,"transportation and storage","managers","Human resource manager","5850","7500","10400","5862","7727","10869"
"217","13304",2019,"transportation and storage","managers","IT service manager","6800","9801","12250","6993","10561","12337"
"218","11201",2019,"transportation and storage","managers","Managing director/Chief executive officer","6000","10000","18500","6000","10000","19700"
"219","13303",2019,"transportation and storage","managers","Network and communications manager","6077","7094","9104","6097","7173","9500"
"220","13244",2019,"transportation and storage","managers","Postal service manager","4542","7011","10426","4831","7295","11045"
"221","12191",2019,"transportation and storage","managers","Premises and facilities maintenance manager ","6150","7539","10426","6293","7788","10791"
"222","13242",2019,"transportation and storage","managers","Procurement/Purchasing manager","5697","7911","9914","5697","8000","10520"
"223","12211",2019,"transportation and storage","managers","Sales and marketing manager","4748","7328","10530","5410","7595","10798"
"224","13302",2019,"transportation and storage","managers","Software and applications manager","5630","7309","9760","5869","7309","10137"
"225","13241",2019,"transportation and storage","managers","Supply and distribution/Logistics/Warehousing manager","4473","5950","8341","4597","6290","8856"
"226","13291",2019,"transportation and storage","managers","Technical/Engineering services manager ","5679","7427","10015","5859","7833","10571"
"227","13243",2019,"transportation and storage","managers","Transport operations manager","4404","5800","8250","4727","6305","9075"
"228","24111",2019,"transportation and storage","professionals","Accountant ","4258","4693","5552","4284","4752","5642"
"229","25140",2019,"transportation and storage","professionals","Applications/Systems programmer","4110","5388","6600","4326","5847","7241"
"230","24112",2019,"transportation and storage","professionals","Auditor (accounting)","4821","5400","6762","4821","5615","6788"
"231","2151",2019,"transportation and storage","professionals","Electrical engineer","3800","4203","5202","3815","4221","5242"
"232","24131",2019,"transportation and storage","professionals","Financial analyst ","3897","4485","5535","3907","4492","5535"
"233","2141",2019,"transportation and storage","professionals","Industrial and production engineer","5011","5824","7041","5169","5976","7041"
"234","21493",2019,"transportation and storage","professionals","Industrial safety engineer","4700","6181","8998","4800","6518","9102"
"235","2421",2019,"transportation and storage","professionals","Management and business consultant","3671","3984","6743","3769","4131","6941"
"236","21712",2019,"transportation and storage","professionals","Marine superintendent engineer","6500","9000","12000","6500","10483","13910"
"237","2144",2019,"transportation and storage","professionals","Mechanical engineer","3807","4557","5618","3962","4832","5957"
"238","2512",2019,"transportation and storage","professionals","Software, web and multimedia developer","4000","4325","5262","4005","4620","5766"
"239","2511",2019,"transportation and storage","professionals","Systems analyst","4070","5305","6637","4100","5460","6670"
"240","33130",2019,"transportation and storage","associate professionals and technicians","Accounting associate professional ","3055","3520","4146","3100","3615","4320"
"241","33222",2019,"transportation and storage","associate professionals and technicians","After sales adviser/Client account service executive","1774","4200","4300","4314","4759","5410"
"242","31571",2019,"transportation and storage","associate professionals and technicians","Air transport service supervisor","1925","3000","3536","3100","3508","3845"
"243","3171",2019,"transportation and storage","associate professionals and technicians","Building and fire inspector","1877","2632","3600","2361","3203","4493"
"244","33221",2019,"transportation and storage","associate professionals and technicians","Business development executive","3100","3610","4604","3250","3735","4645"
"245","3323",2019,"transportation and storage","associate professionals and technicians","Buyer and purchasing agent","4000","4425","5094","4120","4604","5354"
"246","33311",2019,"transportation and storage","associate professionals and technicians","Clearing and forwarding agent","2730","3165","3544","2943","3268","3853"
"247","3322",2019,"transportation and storage","associate professionals and technicians","Commercial and marketing sales executive","3100","3767","4558","3339","4221","5027"
"248","35120",2019,"transportation and storage","associate professionals and technicians","Computer technician ","2626","3100","3612","2704","3150","3920"
"249","31593",2019,"transportation and storage","associate professionals and technicians","Flight operations officer","3064","3741","5085","4230","4780","5568"
"250","3345",2019,"transportation and storage","associate professionals and technicians","Human resource associate professional","3186","3800","4639","3263","4000","4885"
"251","33491",2019,"transportation and storage","associate professionals and technicians","Management executive","3147","3800","4634","3272","3909","4745"
"252","3117",2019,"transportation and storage","associate professionals and technicians","Manufacturing engineering technician","2203","2357","2706","2345","2690","3900"
"253","3115",2019,"transportation and storage","associate professionals and technicians","Mechanical engineering technician","2176","2742","3315","2429","3220","3933"
"254","33492",2019,"transportation and storage","associate professionals and technicians","Operations officer ","3200","3556","4174","3400","3795","4443"
"255","31574",2019,"transportation and storage","associate professionals and technicians","Port/Shipping operations supervisor","2604","2768","3220","3091","3415","3906"
"256","31601",2019,"transportation and storage","associate professionals and technicians","Premises and facilities maintenance officer","2963","3712","5281","3189","3754","5525"
"257","31573",2019,"transportation and storage","associate professionals and technicians","Road transport supervisor","2525","2888","3329","3200","3562","4027"
"258","4311",2019,"transportation and storage","clerical support workers","Accounting and bookkeeping clerk","2480","2818","3371","2562","2965","3465"
"259","40000",2019,"transportation and storage","clerical support workers","Clerical supervisor","2785","3380","3979","3170","3795","4402"
